year,Total_Renewable_Energy_Consumption,Total_Primary_Energy_Consumption
1984,6.437864,76.631701
1985,6.084017,76.392385
1986,6.11114,76.647005
1987,5.621807,79.054456
1988,5.456754,82.709172
1989,6.234646,84.785412
1990,6.040011,84.484452
1991,6.06777,84.437216
1992,5.82054,85.782165
1993,6.081617,87.365426
1994,5.987122,89.087339
1995,6.559346,91.030611
1996,7.012368,94.020526
1997,7.014094,94.600335
1998,6.491263,95.017733
1999,6.513709,96.648388
2000,6.104191,98.816542
2001,5.159914,96.169665
2002,5.726055,97.643473
2003,5.944089,97.917499
2004,6.07464,100.089696
2005,6.233426,100.187712
2006,6.636681,99.484477
2007,6.522846,101.014734
2008,7.174265,98.890725
2009,7.603782,94.117574
2010,8.030007,97.44439
2011,8.998931,96.841665
2012,8.706167,94.415976
2013,9.271152,97.148007
2014,9.558241,98.317365
2015,9.577439,97.553287