year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AK,975.3,1007,1047.4,716.7,641,634.9,645.1,613.7,632.3,636.6,645.2,666.9,691.9,698.8,694.6,771.4,784.4,744.8,761.2,755.2,784,826.8,838,779,733,713.4,717.6,732.4,724.7,722,688.6,687.2,666.2
AL,4645.3,4722.7,4741.2,4996.4,5319.4,5922.9,5307.2,5250.7,5251.7,5424.6,5484.1,5635.3,5677.5,5892.5,5990.4,6148.5,6229.1,6082.4,6312.4,6523.3,6524.2,6552.4,6431.3,6408.7,6475.7,6126.6,5937.2,6109.1,5716.6,5439,5719.8,5973.1,6272.3
AR,3013.9,3092.8,3024.8,3091.9,3342.4,3348.7,3588,3814.5,3615.5,3783.1,3964.7,4185.6,4054.2,4099.9,4075.7,4024.3,3764.4,3675,3740.2,3879.8,3852.3,3850.9,3748.6,3777.9,3916,3775.6,3898.6,3920.2,3799.4,3761.3,3792.3,3776.4,3829.5
AZ,3685.7,3843.8,4219.3,4422.8,4357.8,4529.5,4487.7,4710.7,4804,4366.2,4289.5,4637.6,4839.5,4618.2,5071.5,5797,5653.4,5701.6,6125.7,6604.6,6515.7,5993,6755.1,7428.5,7202.6,6692.6,6224.8,6271.6,6365,6937.4,7101.2,7262.4,7692.2
CA,30432,31543.1,33980.9,35348.6,36365.1,36826.8,38354.4,40675.5,40728.3,39401.6,37942,37992,37319.4,37961.8,38250.9,39755,39698.9,40102.5,40871.3,41648.2,41130.9,40645.3,43560.3,44084.5,42716,40767.3,40521.1,40970.6,40475.8,38820.6,38847.2,37549.1,39141.3
CO,3869.4,4273.5,4596.6,4652.9,4440.5,4399.3,4292.9,4268,4245.3,4532.5,4489.3,4618.1,4778.2,4934.7,5028.4,5200.5,5448.6,5345.6,5444.5,5406.6,5425.7,5477.3,5867,5670,5697,5526.1,5637.2,5862.7,5908.2,5722.7,5674.2,5665.7,5828.9
CT,3249.6,3618.1,3337.7,3433.4,3658.2,3780.3,3678.1,3705.7,3838.4,3783,3732.6,3880.5,4012.8,3678.5,3722.6,3797.3,3820,3779.2,4059.2,4388.4,4172.1,4171.2,4319.4,4409.1,4360.7,4246.8,4355.4,4425.7,4305,3921.4,3902.6,3216.1,4357.3
DC,421.8,422,410.8,404.9,461.7,497.3,467.2,443.6,445.5,455.9,448.5,414.9,392.6,370.6,373.6,337.8,342.2,328.9,301.8,330.9,319.1,325.6,272.5,249.8,244.5,208.2,203.3,199.4,176.7,190.9,188.3,178.4,188.6
DE,967.5,791.1,991.6,607.8,859.4,975.4,1066.2,1032.6,1022.5,1067.3,1102.8,1134.3,1043.3,955,1028.3,1107.6,1201.7,1227.4,1214.9,1282.6,1281.4,1228.8,1174.7,1211.5,1229.7,1187.7,1094.8,1030.8,1016.9,1010.5,998.6,1136.7,1227.6
FL,13656,13642,14427.5,14953.3,16062.7,16908.5,16757.6,17095.3,17453.8,16845.7,17368,17748.3,18239,18853.9,19253.6,19539.8,20052.4,19649.4,20583.7,22174.7,22963.5,23576,23578.6,23669.7,23315.1,21366.2,21191.8,21091.3,21056.1,19373,19521.1,19938.3,20523.7
GA,7506.1,7699.2,8078.7,8637.1,9127.9,9343.4,9374.8,9676.4,9733,9692,10148.1,10677.7,11096.1,11484.8,11937.4,12116.3,12722.1,12404.5,13076.8,13684.5,13253.5,12956.5,12696,12927.7,12984.8,12296.7,12326.9,12387.2,11986.9,11626,11614.4,12115.5,12725.1
HI,865.7,931.9,935.4,935,905.4,944,962.5,964.8,1016,1018,980.7,993.3,985.3,1014.3,989.9,995.9,972.5,1006.6,1074.4,1153.6,1219.5,1237.8,1251.2,1320.8,1297.4,1323.7,1336.1,1180.6,1186.4,1191.6,1193.3,1191.9,1280.1
IA,3609.5,3883.1,3948.6,3966.1,3573.2,3682.9,3842.1,3886.9,3780.7,3782.3,3795.5,3920.9,3870.9,4005.6,4017.1,4080,4272,4096.3,4132.8,4229.3,4272.3,4480.6,4314,3843,3696.9,3535.2,3571,3798.7,3670.6,3561.8,3454.1,3247.1,3146.1
ID,1212.3,1124.1,1106.2,1228.6,1225.7,1229,1259.7,1322.9,1363.3,1368,1391.7,1412.7,1447.5,1493.1,1450,1598.7,1558.2,1630.6,1642.3,1678.4,1763.8,1731.2,1805.4,1880.7,1843.8,1729.3,1833.7,1794.2,1926.1,1950.2,1916.9,1886.7,2036.8
IL,11068.5,11398.2,11022.5,10738.3,11172.8,11829.2,13449.8,13209.5,12513.9,13233.8,12209.6,12120.5,12700.3,12734.6,12870.1,12701.5,12669.2,12526.1,12361.4,12712.5,13435,14184.5,14115.4,14008.7,14180.1,13735.8,12933.2,12356.6,12378.1,12523.6,12769.1,12553.2,13052.1
IN,6428.3,6541.1,6897.7,6747.1,6724.6,7147.5,7372.5,7267.2,6864.1,7276.6,7303.4,7639.1,7937.7,8110.9,8259.6,8512.8,8595,8625,8420.6,8500.6,8227.6,8379.7,8230,8337.4,8255.3,8133.9,8110.6,8004.5,7674.5,7621.8,7791.5,7832.5,8474.5
KS,5229.5,5874.6,6271.3,6343.4,4547.1,4542.6,4300.8,4146.1,3671.5,3886,3919.1,3945.5,3977.9,3989.7,4083.9,4134.3,4097.9,3904.1,3885.4,3881.2,3952.5,3825.2,3828.1,3780.9,4055.7,3942.8,3938.5,4185.3,4010.2,4084,4141.9,4180.9,4248.8
KY,4511.4,4360.3,4471.5,4832,4915.6,5052.9,4952.2,4944.1,4924,5046.7,5270.6,5285.9,5314,5298.4,5492.9,5750.8,5864.9,5799.7,5875.6,6130,6265.1,5965.2,5744.1,5780,5791,5511.9,5609.7,5481.7,5247.1,5223.9,5103.1,5059.3,5382.8
LS,5898.6,5880.3,6387.8,6908.9,6572.9,6620.2,6812,6967.1,6687.6,6463.8,5492.2,5657.3,5656.5,5726.3,5765.2,5925.2,6157.7,5877,5950.4,6091.2,6094.2,6264.8,6486.9,6548.5,6691.1,6752.1,7072.1,7389.7,6512.1,6655.8,6777,7010.3,7275.5
MA,5844,5961.6,5980.9,6236.6,6879.4,7200.9,6915,7169.4,6510.3,6476.6,6576.7,7015.6,6895.1,6963.8,7161.9,6978,6789.4,6897.1,7293.1,7713.9,8031,8038.9,7735,7308.3,7598.2,7425.7,7022.2,6997.2,6993.4,6821.5,6276.4,5934.6,6708.5
MD,4897.3,4879.1,5038.6,5124.2,5105.6,5214.4,5394.2,5549.8,5541,5337.3,5468,5503.7,5518.7,5523.4,5592.1,5470,5536.7,5606.5,6154.9,6494.4,6579.6,6795.4,6788.6,6717.2,6746.1,6507.1,6506.5,6179.5,6104.6,5918.3,5830.4,5591.4,5726.1
ME,1530.4,1488.3,1437.5,1446.9,1712.6,1863.9,1962.7,2154.3,2019.2,2021.7,2068.1,2229.9,2467.1,2412.7,2398.7,2356.7,2050.2,1980.6,2079.1,2182.8,2150.1,2074.1,2040.5,2122.7,2060.3,1866.8,1878.1,1888.9,1881.7,1852.8,2015,1841.3,1951
MI,10658.1,10804.1,11139.3,11403.3,11260.7,11785.6,11638.3,11686.7,11602.8,11909.3,12405.5,12529.3,12753.7,12746.4,12908.4,13001.4,13261.9,13061.2,12953.6,13148.6,13249.2,13318.6,13017.5,12867.8,12294,11893.2,11763,11902.4,11715.9,11480.6,11669.3,11835.3,12290.2
MN,6513,6575.5,6646.6,6157.8,5380.1,5534.1,5517.1,5409.4,5390.1,5429.6,5594.5,5902.9,6080,6234.2,6316.1,6274.9,6592.6,6714,6813.6,6777.8,6986.7,7354.6,7215.2,7046.9,7000.6,6113.8,6061.3,6073.4,6042.6,6205.5,6316.3,6268.6,6483.2
MO,6052.3,6375.7,6548.6,6910.3,6637.6,6985.3,6990.5,6928.5,6885.7,6898.7,7042.2,7318.2,7512.2,7335.2,7234.6,7473.3,8154.1,8112.5,8493.1,8543,8655,8655.5,8310.9,8227.6,8105,7895.2,7808,7883.5,7623.3,7243.1,7513.6,7153.4,7336.1
MS,3399.1,3413.2,3563.4,4000.6,4428.6,4246.9,3666.6,3594.8,3706.7,4240.1,3596.3,3643.7,3585,3705.5,3788.9,4033.4,3898.8,3934.3,4143.3,4344.2,4358.4,4430,4564.8,4614.4,4685.9,4613.4,4581.2,4497.9,4157.6,4389.6,4534.5,4699.9,4490.6
MT,1344.8,1380.2,1393.1,1300.4,1277.4,1280.3,1253.8,1282.7,1284.3,1281.2,1250.3,1264.4,1301.1,1311.8,1367.7,1368.2,1443.6,1375.4,1380.3,1317.4,1125.8,1378.7,1394.6,1798.4,1789.8,1714.2,1766.9,1776.2,1759.1,1820.3,1864.4,1896.6,2017
NC,7919.3,8084,8269.9,8603.7,8940.8,9214.7,9219.1,9456.4,9455.5,9436.6,9625.4,9690.1,10098.1,10443.3,10681.8,11112.3,11558.1,10955.1,11379.8,11640.3,11723.3,11785.9,11522.2,11609.5,11572.1,11041.5,11209.1,11352.1,11100.2,10947.4,11013.9,11220.7,11688
ND,1123.6,1161,1077.4,1056.5,946.8,916.3,927.9,876.5,884.7,917.1,988.8,998.1,1011.6,977.8,992.3,1022.7,1039.4,983.3,949,931.2,903.6,959.7,914.7,936.3,899.5,887.8,947.8,1014.1,1071.4,1142.1,1191.7,1214.7,1179.8
NE,2024.9,1996.7,1923.8,2017.1,2008.9,2116.4,2067.2,2019.1,1984.3,2023.8,2078,2187.5,2184.9,2232.1,2227.2,2278.2,2306.1,2289.3,2282.6,2149.2,2139.7,2244.4,2238.1,2155,2165.4,2063.4,2092.5,2187.4,2139.7,2131.8,2112.4,2021.1,2085
NH,598.1,637.6,662.6,718.4,864.2,958.3,958.7,1062.5,1120.7,1192.2,1152.9,1095.2,1121.6,1258.8,1324.7,1423,1508.3,1620.2,1674.1,1789.6,1920.3,1932.9,1880.4,1726.4,1640.1,1585.1,1613.9,1610,1417.5,1448,1639.4,1493.3,1603.1
NJ,11677.7,11884.4,13278.8,11473.3,11861,13045.6,14420.9,13578.5,12677.5,11538.1,10768.3,10897.8,11125.7,10899.9,11126,11327.9,10792,10852.8,11024.1,11250.9,11147.1,11603.8,12208,11469.2,11609.8,11497.9,11614.8,11546.1,11729.5,11184.3,10796.9,10142.1,10819.7
NM,2183.3,2197,2155.9,2101.6,2129.9,2159.8,2036.3,2044.8,2079.3,2153.4,2197.5,2327.5,2436.7,2486.5,2481.1,2528.5,2505.1,2534.4,2475.5,2536.9,2564.4,2645.8,2665,2637.5,2695.8,2548.5,2324.2,2401,2446.6,2403.5,2453.5,2529.1,2611.3
NV,1132.5,1249.4,1461.9,1518.8,1645.6,1677.8,1815,1955.7,1991.8,1907.1,2042.9,2077.3,2123.4,2274.5,2332.4,2477.8,2524.5,2410.8,2283.2,2305,2285.8,2346.9,2701.6,2773.6,2766.7,2579.3,2598.1,2615.1,2731.4,2562.5,2849.8,2914.8,2926.3
NY,12209.8,12619.3,15610.5,12769.6,13617.8,14604.1,14492.1,14141.7,13596.7,13473.6,14569.1,14636.4,14910.2,14566.6,14668.8,14907.3,14739.4,14758.9,15531.6,16319.7,16437.1,15413.7,15616.8,15770.2,15559.2,15016.6,14949.4,14990.8,15019.7,14553.1,14420.5,14355.1,15034.7
OH,11720.8,12288.7,12599.8,12757.9,13145.5,13711.9,14438.6,13529.4,13260.3,13157.2,13213.9,13282.4,13755.7,13845.6,14159.2,14326.9,14350.8,14314.6,14265.7,14160,14059.7,14124.9,13895.5,14264.6,13866.5,13484.1,13157.5,13024.6,12337.3,12888,12700.7,12625.5,12962.3
OK,4937,4980.1,5411,5576.2,5656.5,5681.4,5600.2,5761,6063.2,6550.4,4980.2,4937.2,4930.2,4950.5,5213.4,5573.2,6048.6,6004.8,5740.9,5666.9,6059.6,5912.7,5320.9,5212.9,5691,5703.6,5401.7,5441.9,5448.8,5425.5,5696.4,5586.6,5408.1
OR,3393.1,3550,3445.3,3495.4,3620.6,3658,3740,3874.2,3889,3693.3,3677.4,3537,3821.1,4079.4,4028.6,4235.2,4269.5,4207.2,4252.8,4295.8,4224.2,4109.1,4156.5,4314.4,4199.1,4075.3,4145.2,4237.1,4098.6,3955.8,4023,3993.8,4208.4
PA,13261.1,12455.9,12205,13155.2,13347.7,13984.9,13734.5,13349.9,12996.7,13570.7,13511.2,13754.6,13988.2,13986,13977.2,13778,14017.3,14001.2,14238.6,13921.2,13201.4,13111.8,14074,13926.5,13750.4,13324.2,13337.5,13135.3,10555.5,9830.7,8617.2,7979.8,8207.6
RI,1138.7,1208.7,1126.4,1272.4,1506.1,1572.6,1648.1,1590.9,1595.8,1556.3,1545.8,1417.3,1475.3,1534.3,1498.5,1426.9,1277.2,1249.2,1124.2,1134.7,1302.7,1342.3,1311.9,1228.5,1286.3,1401.8,1380.8,1417.8,1514.9,1340,1317.8,1296.4,1561.5
SC,4014.4,4058.9,4083.8,4174.4,4470.3,4542.3,4697.7,4955.4,4886,4974.2,5217.5,5394.8,5414.3,5525.5,5540.1,5635.2,6403,6134.4,6194.9,6334.1,6590.1,6636.8,6568,6817.4,6913.4,6667.5,6733.4,6803.1,6492.1,6442.1,6694.7,6754.5,6970.9
SD,1037.7,1041.4,1039.3,1022.8,980.1,1014.1,1028.8,1030.4,1041.8,1100.8,1106,1146.5,1120,1134.7,1134.2,1208.1,1155.7,1150.8,1164.7,1176.8,1176.2,1188.7,1161.7,1155.1,1188.4,1122,1161.5,1203.1,1211.9,1131.8,1183.2,1125.4,1144.6
TN,6830.2,7167.2,7327,7431.4,7640.7,7808.5,7844,7842.9,7893.8,7955.8,8141,8385.9,9038.6,8967.7,9010.1,9002.3,9908.1,9637,9668.8,9333.4,8830.8,8907.9,8754.2,8680.9,8647.9,8325.1,8781.2,8857.5,8262.3,8147.8,8226.5,8852.8,9134.2
TX,28565.3,28554,33100.6,35977.3,33728.8,35394.9,33163.7,34532.2,32885.4,32536.2,27110.8,27652.6,28358.5,28623,28878.9,30168.4,31860.9,30159.7,31175,32074.3,32368.9,32735.2,34966.3,34054.8,35275.5,35479.4,35428,37093.8,34694.1,34874,35660,36263.7,37794
UT,1914.8,1922.9,2245.9,2155.8,2170.9,2227.5,2237.6,2259.6,2177.3,2270.5,2250,2506.8,2722.2,2847.5,3003.1,2889.9,2977.9,2983.3,3062,2958.4,2871,3006.5,3313.1,3012.9,3068.2,2827.3,2908.5,2702.5,3061.2,3076.2,3082.3,3212.2,3398.8
VA,6563.6,6705.6,7282.8,7599.8,7766.9,8261.3,8403.9,8605,8683.5,8597.5,8950.9,9199.2,9588,9771.3,9865,10271.3,10375.3,10092.5,10189,10270.3,10637.8,10739.1,10488.6,10489.3,10796.4,10086.6,10713.2,10807.2,11018.7,9760.7,9407.4,9376,9502.8
VT,307.8,303.6,276.6,285.4,315.2,524.6,469.3,594.1,590.6,591.7,636.6,660,660.3,702,728.1,730.3,815.9,822.5,843.2,895.8,935.3,926.1,888.4,888.3,873.2,802.4,930.9,931,887.9,896,915.9,798.3,842.1
WA,5511.1,5313.7,5446.1,5786.1,6189.2,6186.3,6706.1,6803.1,6683.6,6682.6,6858.1,6911,7288.4,7520.2,7394.1,7763.9,7772.8,7377,7742.3,7786.4,7259.6,7180.5,7752.7,7860.1,7617.5,7341.5,7515.8,7367.4,7396.4,7399.2,7485.7,7408.3,7427.7
WI,5174.9,5460.2,5559.9,5534.6,5472.2,5631.3,5661.6,5816.9,5850.4,5917.1,6012,6135.2,6329.4,6478.1,6596.4,6768,6713.5,6855.2,6884.1,7010.1,6858.9,6770.1,7059.5,6802.8,6629.6,6651.7,6879.8,7076.8,6992.7,6744.4,7110.2,7051.7,7264.6
WV,1572.3,1655,1554.3,1649.3,1758.1,1727.5,1584.9,1648.8,1640.3,1659.6,1562.6,1586.8,1398.1,1385.2,1367.7,1622.4,1685.5,1508.4,1615.6,1968.1,1992.4,2116.4,2080,2077.2,1994.6,1934.7,2073.2,2100,1995,1904.6,1861.1,1856.6,1906.4
WY,829,819.3,837.2,810.4,816.7,824,753.7,719.1,744.1,768.6,800.4,789.4,794.2,818.1,843.3,863,846.9,808.6,816.5,826.2,861.5,851.2,851.8,925.3,963.5,920,999.9,940.6,914.3,975.5,982.1,953.2,1022.7